18219 19610
64 4709 -37.76
64 5342 -9.05
64 5387 -20.66
64 5948 -19.95
64 8327 37.89
64 9104 -40.02
64 15672 -49.77
64 16336 42.47
65 2078 -10.88
65 4079 -0.79
65 12540 -35.68
65 15437 28.35
65 15587 26.13
65 19265 4.40
65 19466 32.25
66 807 -13.23
66 3164 -45.81
66 7962 28.68
66 8074 5.14
66 8536 -7.53
66 11375 6.86
66 13449 -41.56
66 13574 6.80
66 13797 12.76
66 14744 6.32
66 15522 -4.34
66 15953 -47.52
66 18202 23.50
66 19558 26.10
67 258 5.42
67 2288 13.40
67 2333 11.88
67 3524 -45.86
67 6828 1.66
67 9477 -48.11
67 10819 -1.99
67 13443 14.80
67 16134 27.44
67 17911 -19.30
67 18405 -28.79
67 18439 49.40
68 2824 23.55
68 3103 -42.24
68 4129 5.02
68 7123 -10.99
68 10031 48.20
68 10121 8.40
68 10997 46.36
68 11469 1.15
68 12028 7.34
68 14138 29.01
68 14791 18.75
68 15887 -35.37
68 16394 8.19
68 19232 47.54
69 3702 11.76
69 5015 22.52
69 5192 11.93
69 6763 -47.71
69 8349 -21.56
69 9885 -20.62
69 10714 -12.70
69 11473 -40.29
69 14730 -20.86
69 17198 -5.55
70 1358 -25.23
70 1795 -33.04
70 2554 -28.08
70 5447 -36.16
70 6202 -0.80
70 11529 -4.75
70 12035 46.45
70 13159 16.69
70 13871 43.39
70 17388 -46.58
70 19180 12.27
71 135 -40.89
71 165 13.20
71 1095 48.43
71 5001 -27.96
71 7107 9.99
71 7283 6.42
71 7566 -1.19
71 7953 -16.56
71 8672 -30.63
71 9537 29.83
71 12058 -25.62
71 14501 -16.69
71 15304 -48.37
71 16598 27.91
71 18451 44.89
71 18860 -37.34
72 1508 27.99
72 1858 34.02
72 3021 21.94
72 6736 33.01
72 7570 32.42
72 7730 13.59
72 7922 6.18
72 8651 -25.47
72 9624 -3.11
72 9670 -8.51
72 10973 33.86
72 13100 -24.34
72 13132 36.37
72 18885 -45.31
73 1109 -18.90
73 3860 -7.20
73 4298 -23.01
73 5213 29.24
73 5980 33.73
73 6469 -16.66
73 6590 -20.21
73 6800 -26.86
73 10629 -43.06
73 11686 1.13
73 12618 42.25
73 12891 2.89
73 13637 -37.61
73 14415 26.12
73 16459 -3.39
73 18610 2.20
73 19459 -10.92
74 4621 -37.09
74 5662 -36.11
74 5980 -43.00
74 6223 13.48
74 9111 -45.84
74 14650 -4.71
74 16983 33.64
75 446 11.17
75 685 1.32
75 2223 -46.33
75 3523 -20.81
75 3528 34.93
75 3612 16.69
75 4512 36.17
75 6495 33.69
75 8224 -45.21
75 9768 -32.10
75 11903 -38.28
75 14532 -32.59
75 14626 33.34
75 16225 -4.38
75 18364 -5.29
75 18517 23.76
75 19576 -32.80
76 1261 -31.34
76 4031 -45.21
76 10313 5.88
76 12219 -8.66
76 13925 -19.77
76 14890 -19.61
76 15317 40.56
76 15458 28.67
76 19215 32.52
77 1528 18.12
77 2403 -27.79
77 5668 0.37
77 7601 43.23
77 7749 11.19
77 8757 15.58
77 9090 17.44
77 10153 -2.50
77 11667 29.36
77 14167 1.84
77 15283 21.27
77 19383 -21.46
78 243 -6.91
78 5117 -39.99
78 6348 23.89
78 7223 -44.54
78 7980 34.90
78 8146 -23.22
78 10397 2.80
78 13583 -9.78
78 13930 17.79
78 15018 -2.88
78 15311 0.87
78 15505 -22.83
78 18260 -48.62
79 3937 20.30
79 4183 16.28
79 4612 42.65
79 5227 -23.98
79 8146 31.32
79 8234 36.10
79 9545 -11.98
79 10352 -26.13
79 11693 -44.92
79 11832 46.78
79 15315 12.01
79 15490 -45.73
79 15721 46.56
79 15875 -48.13
79 16454 22.91
79 16514 -18.75
80 5203 -5.18
80 5293 30.16
80 5319 -5.41
80 6137 20.66
80 9649 34.74
80 9724 -12.39
80 10799 -13.22
80 11324 -1.52
80 11691 0.66
80 11823 -42.92
80 13599 28.16
80 15886 -34.23
80 16526 2.90
81 762 21.88
81 1235 -29.22
81 4581 32.40
81 5520 43.60
81 8904 1.56
81 9520 29.50
81 10222 32.94
81 10735 -22.61
81 13338 17.91
81 15337 -7.89
81 16135 -19.23
82 6142 0.02
82 9949 15.83
82 14714 -40.94
82 15761 -39.64
83 1153 11.58
83 3399 32.93
83 4573 16.06
83 5762 -27.06
83 6148 5.59
83 13515 24.03
83 16496 20.77
83 17413 7.09
83 19295 -21.75
84 1175 4.66
84 1635 -34.60
84 2042 49.06
84 6114 -49.51
84 7953 35.37
84 8850 -42.92
84 10890 26.16
84 18163 48.41
85 137 35.37
85 2149 45.63
85 2562 28.89
85 3947 -39.24
85 4820 24.56
85 10213 3.03
85 12570 -26.86
85 13782 -16.69
85 14908 2.44
85 18888 -12.72
85 19158 -0.23
85 19587 -21.82
86 6780 33.41
86 7193 -7.78
86 7840 -19.60
86 9231 -32.82
86 11428 -27.26
86 11688 -29.68
86 15208 -34.02
86 17119 -21.93
87 14 0.96
87 3579 6.06
87 4646 37.74
87 5335 -23.14
87 5847 -44.92
87 7688 35.10
87 8378 44.94
87 8627 -31.95
87 9033 -4.14
87 10584 -43.81
87 14906 -22.30
87 15553 7.98
87 16215 -35.86
88 1142 -27.85
88 1208 29.98
88 1744 -44.00
88 6422 31.27
88 6939 42.03
88 15869 3.89
89 3404 -1.92
89 6109 -19.10
89 6713 -33.77
89 8027 -44.01
89 11570 47.87
89 12810 16.59
89 17134 33.23
90 906 -3.51
90 2934 -18.19
90 8312 35.44
90 9223 48.36
90 9772 30.29
90 13449 16.20
90 14891 34.25
90 16107 13.24
90 16820 -2.41
90 19294 5.20
90 19337 36.95
91 5082 -21.53
91 8714 8.12
91 9451 -5.98
91 10587 16.25
91 11569 47.68
91 12367 -34.24
91 12652 -14.96
91 13579 -40.58
91 18537 -17.34
91 19458 27.92
92 2715 -10.40
92 5663 14.10
92 6436 -33.42
92 6983 24.11
92 7796 36.97
92 8523 -20.20
92 8583 22.42
92 18649 22.99
93 7408 -34.82
93 10208 10.71
93 15465 -45.70
93 16301 35.71
93 17730 -28.76
93 18708 -14.01
93 19305 -7.12
94 3399 -16.77
94 5557 -25.08
94 6373 24.81
94 6792 -0.43
94 7241 -19.12
94 9044 11.03
94 9849 31.34
94 10833 1.91
94 11668 29.36
94 18444 18.57
95 2306 -39.33
95 4636 29.83
95 4732 -42.79
95 12618 -2.45
95 14672 8.26
96 1434 33.71
96 2362 -44.80
96 2833 -12.95
96 4510 -15.12
96 4617 35.57
96 4839 1.43
96 5954 34.81
96 7020 -43.33
96 7136 -29.40
96 10312 -2.78
96 14048 35.41
96 14237 -9.08
97 447 30.65
97 876 5.83
97 1421 -33.55
97 1531 -18.39
97 2498 46.29
97 4752 -40.96
97 5243 -31.62
97 12300 39.24
97 14080 13.58
97 15341 -31.70
97 16890 -20.06
98 863 21.33
98 888 3.60
98 1167 -40.23
98 3116 40.63
98 6181 22.59
98 9392 36.74
98 9839 17.31
98 11925 21.17
98 14381 -24.98
98 15139 -44.34
98 18807 2.91
99 3688 -38.37
99 4373 29.48
99 8302 -16.10
99 8437 -6.23
99 8793 -1.75
99 10736 -18.35
99 10765 15.21
99 10828 -41.57
99 14999 -7.07
99 15137 1.91
99 17842 -6.75
99 19272 40.15
100 1700 -34.47
100 2024 -39.32
100 3599 -25.01
100 6195 -19.07
100 9268 6.63
100 9833 45.66
100 10793 -20.88
100 10944 -46.14
100 12022 38.04
100 14545 -17.83
100 14990 45.46
100 16644 43.28
100 17238 -47.28
101 1005 -23.23
101 2611 -23.57
101 3337 23.67
101 3848 42.17
101 4920 -27.33
101 5264 13.99
101 9133 -17.57
101 10308 46.88
101 11307 -25.30
101 13394 6.31
101 13736 27.96
101 15587 13.69
101 15951 -34.16
102 267 37.09
102 310 35.57
102 3736 49.50
102 8544 -5.61
102 14919 -17.05
102 17380 -6.02
102 18933 6.08
103 1799 -7.76
103 10544 8.38
103 10614 18.91
103 11402 39.48
103 11832 10.25
103 12818 -1.09
103 13381 9.00
103 14382 -46.49
103 15868 -26.55
103 16194 1.09
103 16980 -43.29
104 3890 12.59
104 7589 -18.60
104 8132 8.71
104 10131 33.50
104 10950 -38.55
104 13264 -1.19
104 13269 9.29
104 16390 -32.76
104 16661 48.41
104 16755 -30.84
104 17406 15.09
104 18861 16.83
105 5451 -10.22
105 6970 -12.66
105 16857 12.47
106 527 47.65
106 630 19.80
106 2721 -45.42
106 5531 -37.94
106 8641 -36.37
106 9437 -13.29
106 9931 -16.28
106 11452 12.14
106 12303 -11.10
107 1251 -1.01
107 2758 46.27
107 3658 5.62
107 5129 -47.87
107 5551 4.28
107 7613 -25.36
107 8608 -18.48
107 11342 -39.72
107 13261 13.07
107 13848 -45.67
107 14371 -39.75
107 15143 26.59
107 15453 -5.39
108 884 -16.20
108 1279 41.81
108 2449 -5.50
108 3727 -37.48
108 5216 4.72
108 5318 -22.78
108 7290 27.43
108 19168 -27.46
109 2106 -4.12
109 4955 -43.07
109 6746 25.85
109 7866 -36.14
109 11490 -22.41
109 12731 -33.54
110 2526 -49.48
110 2851 13.78
110 3776 -47.72
110 3815 -33.70
110 7364 -22.68
110 11994 -12.98
110 12853 -18.50
110 12903 -6.51
110 14378 -12.10
110 14632 10.26
110 17984 19.55
110 19514 23.26
111 2540 -23.26
111 3454 -45.93
111 4571 40.61
111 5163 -16.71
111 5407 -43.04
111 5503 2.58
111 8452 11.33
111 9386 -41.50
111 9976 -12.73
111 11415 -11.35
111 11542 26.41
111 13633 25.75
111 14879 36.16
111 15076 -23.59
112 1555 -49.86
112 3060 32.94
112 5549 -21.28
112 6732 18.95
112 7172 37.04
112 9252 -21.40
112 9311 13.65
112 11188 -20.35
112 11394 16.35
112 12805 19.46
112 13273 32.36
113 817 13.66
113 2813 -36.32
113 3992 14.17
113 4395 -34.90
113 6309 30.43
113 7571 -0.76
113 7661 -26.13
113 7753 -3.40
113 8060 -47.41
113 8479 33.34
113 12271 8.85
113 12485 37.27
113 13505 -8.10
113 16459 -46.17
114 947 -41.40
114 1023 -20.79
114 2468 45.69
114 3260 -7.05
114 11864 -39.51
114 11911 18.68
114 12663 30.62
114 14779 -1.25
114 15231 -6.17
114 18374 -11.55
115 1305 -49.18
115 1776 -10.89
115 2938 22.50
115 3312 47.64
115 4403 -8.76
115 8260 -0.18
115 10320 -34.31
115 10613 -29.88
115 12116 27.67
115 12589 -46.99
115 16107 13.54
115 16981 -27.78
116 929 -28.43
116 7274 3.93
116 7687 -4.10
116 10562 45.03
116 12153 -1.56
116 12374 -18.23
116 13952 -35.74
116 14075 46.10
116 14244 2.66
116 16295 -17.48
116 18949 7.34
117 9345 43.40
117 10645 10.10
117 13157 35.73
117 13394 6.88
117 13951 38.54
117 14284 4.26
117 14672 -23.41
117 17544 39.11
117 18092 16.48
117 18921 -37.25
117 19413 22.12
118 2202 43.72
118 4697 -13.59
118 4953 -47.25
118 7428 8.18
118 10774 -6.05
118 12171 -8.38
118 15807 -17.54
119 2252 39.32
119 10188 -35.08
119 10680 49.26
119 15030 -0.73
119 15281 -4.94
119 15971 7.57
119 18599 46.98
120 1127 16.74
120 2940 -45.86
120 9375 6.51
120 11491 48.10
120 15226 47.49
120 17629 -40.65
121 136 -7.57
121 1383 -33.07
121 2236 47.05
121 4780 7.76
121 7267 49.52
121 10795 23.93
121 12678 19.16
121 15253 -38.56
121 18031 -20.26
121 19398 -12.39
122 285 -39.13
122 492 -8.71
122 1656 30.14
122 1872 -32.13
122 1887 27.18
122 2848 2.73
122 4028 32.75
122 5438 -9.80
122 5755 -32.52
122 6000 35.88
122 9321 -11.67
123 1534 6.62
123 4598 -38.79
123 6363 -0.38
123 9263 47.70
123 12249 11.64
123 13283 6.05
123 13618 38.65
123 13903 18.46
123 18052 15.72
124 3151 -14.90
124 5720 -42.81
124 9597 -47.18
124 11561 -21.72
124 12044 -38.45
124 15461 -16.94
124 15694 22.44
124 18230 42.31
125 575 -4.18
125 1842 29.57
125 1981 -47.57
125 3242 -14.01
125 4850 7.22
125 6302 23.59
125 6687 -25.02
125 9614 -37.51
125 12624 37.95
125 15223 43.09
125 16616 -16.89
125 17380 26.32
125 19282 -38.41
125 19393 -32.25
126 1410 -3.58
126 3007 -32.82
126 3808 -36.13
126 5063 -36.26
126 7237 28.06
126 9756 21.64
126 12781 11.92
126 13515 3.89
126 14724 -39.37
126 18165 -46.92
127 315 -18.43
127 1604 -14.57
127 1863 -31.99
127 2658 26.56
127 3416 35.06
127 4793 -40.24
127 4867 29.47
127 6199 19.41
127 7557 16.96
127 10320 -39.49
127 12842 16.36
127 15236 14.06
127 15837 -35.52
128 4692 -17.75
128 9278 -9.09
128 14556 -25.54
128 15003 19.72
128 17774 -10.11
129 2557 -0.24
129 3066 -45.82
129 7137 -1.24
129 8350 -20.91
129 9169 30.59
129 9393 49.24
129 11175 40.14
129 15304 -34.93
129 15484 -40.79
129 19170 -15.29
130 4232 1.66
130 5091 20.44
130 6154 48.57
130 8985 18.26
130 12653 -13.37
130 15382 45.45
130 16721 -44.06
130 18960 36.20
130 19038 -42.72
131 3059 -7.80
131 4404 13.11
131 9225 45.74
131 10484 33.69
131 12063 -36.44
131 14985 -15.20
131 15854 -7.28
131 16360 3.66
131 18558 36.30
131 18581 -3.58
131 19186 -3.17
132 4153 25.80
132 7878 -23.37
132 12967 49.89
132 14642 6.76
133 1065 -22.54
133 2249 -23.75
133 3163 5.68
133 5773 43.88
133 6562 -31.82
133 7559 -13.58
133 7630 -7.29
133 10095 -45.83
133 11039 19.01
133 11397 -49.71
133 11398 49.39
133 18582 -35.86
133 19365 -33.26
134 436 -20.44
134 3080 27.73
134 6514 41.65
134 6906 -23.98
134 7063 49.42
134 8906 -25.61
134 10012 -42.92
134 11578 32.60
134 19224 -44.93
135 3398 -29.02
135 4192 8.07
135 7527 36.37
135 7737 22.02
135 8312 46.04
135 8585 -36.32
135 11997 -45.10
135 17042 27.32
135 17469 -40.49
136 4235 20.66
136 4916 16.48
136 5150 37.16
136 5355 2.09
136 10792 1.62
136 11096 -49.71
136 14623 9.48
136 16236 8.88
137 2158 26.65
137 3480 14.20
137 4492 -23.66
137 4707 -14.30
137 9303 22.99
137 13437 29.40
137 14423 -19.30
137 17428 10.19
137 18800 -20.82
137 18871 -40.68
138 2173 -38.64
138 2988 -1.18
138 7847 30.09
138 8702 -19.82
138 9100 11.75
138 9258 -30.06
138 12057 16.33
138 13581 6.19
138 14389 38.45
138 15816 32.80
138 15848 44.87
139 2095 -10.87
139 2600 7.81
139 3788 15.07
139 6093 25.09
139 8659 -30.59
139 9167 -32.95
139 13685 -16.60
139 15329 32.00
139 15532 -11.34
139 18881 2.46
139 19472 -43.98
140 533 37.19
140 697 26.26
140 976 27.91
140 1187 -13.44
140 2463 25.50
140 8462 -15.62
140 8992 45.21
140 10168 -13.48
140 11592 22.21
140 13936 -11.99
140 16579 -16.03
140 19094 38.18
140 19144 4.02
141 141 49.51
141 476 36.67
141 1955 -42.94
141 2346 39.98
141 5611 12.02
141 5983 -19.52
141 11880 -29.01
141 14350 -0.69
141 16108 44.66
141 17514 28.75
141 17634 48.62
141 18867 -0.96
141 19349 -1.86
141 19450 -46.62
142 593 -30.41
142 1224 -1.11
142 1988 42.77
142 2423 -13.91
142 4800 44.19
142 8413 47.23
142 11149 6.50
142 12910 -27.45
142 13836 -37.48
142 14622 12.84
142 14882 -42.73
142 17124 38.64
142 19274 49.94
143 1341 17.61
143 1755 -5.56
143 2747 1.21
143 5266 31.41
143 7232 -44.90
143 7382 -47.49
143 13980 49.73
143 14484 33.83
143 14844 4.97
143 17356 47.58
143 18379 31.75
143 19249 6.55
144 2702 -40.07
144 4224 30.84
144 6198 -34.54
144 6526 17.70
144 10727 -44.69
144 12847 14.35
144 15037 33.17
144 15452 20.10
144 15699 31.44
144 16142 -18.96
144 16502 8.91
144 16937 -36.57
145 3669 8.41
145 6067 -21.48
145 6119 -20.77
145 7391 -8.15
145 9645 34.21
145 13871 -31.66
145 18248 15.93
146 1048 22.10
146 5097 38.71
146 10303 8.71
146 13725 14.63
146 13964 5.43
146 14467 -28.59
146 16122 -40.22
146 16990 34.57
147 774 15.19
147 5211 -30.61
147 8590 -41.64
147 9420 49.90
147 9492 -38.54
147 16178 10.39
148 158 3.07
148 1956 -36.61
148 1997 -32.75
148 2280 48.34
148 2901 -29.05
148 5205 -38.79
148 8035 -33.81
148 11626 -46.66
148 12282 41.82
148 13298 -41.06
